group,subgroup,type,name,location,waypoint,time,frequency,schedule
Core Tyria,World Bosses,World Boss,Admiral Taida Covington,Bloodtide Coast,Laughing Gull Waypoint,00:00,3,
Core Tyria,World Bosses,World Boss,Svanir Shaman Chief,Wayfarer Foothills,Vendrake's Homestead Waypoint,00:15,2,
Core Tyria,World Bosses,World Boss,Megadestroyer,Mount Maelstrom,Maelstrom's Waypoint,00:30,3,
Core Tyria,World Bosses,World Boss,Fire Elemental,Metrica Province,Muridian Waypoint,00:45,2,
Core Tyria,World Bosses,World Boss,The Shatterer,Blazeridge Steppes,Lowland Burns Waypoint,01:00,3,
Core Tyria,World Bosses,World Boss,Great Jungle Wurm,Caledon Forest,Twilight Arbor Waypoint,01:15,2,
Core Tyria,World Bosses,World Boss,Modniir Ulgoth,Harathi Hinterlands,Cloven Hoof Waypoint,01:30,3,
Core Tyria,World Bosses,World Boss,Shadow Behemoth,Queensdale,Swamplost Haven Waypoint,01:45,2,
Core Tyria,World Bosses,World Boss,Golem Mark II,Mount Maelstrom,Old Sledge Site Waypoint,02:00,3,
Core Tyria,World Bosses,World Boss,Claw of Jormag,Frostgorge Sound,Earthshake Waypoint,02:30,3,
Core Tyria,Hardcore World Bosses,World Boss,Tequatl the Sunless,Sparkfly Fen,Splintered Coast Waypoint,,,"'00:00','03:00','07:00','11:30','16:00','19:00'"
Core Tyria,Hardcore World Bosses,World Boss,Triple Trouble,Bloodtide Coast,Firthside Vigil Waypoint,,,"'01:00','04:00','08:00','12:30','17:00','20:00'"
Core Tyria,Hardcore World Bosses,World Boss,Karka Queen,Southsun Cove,Pearl Islet Waypoint,,,"'02:00','06:00','10:30','15:00','18:00','23:00'"
Core Tyria,Ley-Line Anomaly,World Boss,Ley-Line Anomaly,Timberline Falls,Valance Tutory Waypoint,00:20,6,
Core Tyria,Ley-Line Anomaly,World Boss,Ley-Line Anomaly,Iron Marches,Bloodfin Lake Waypoint,02:20,6,
Core Tyria,Ley-Line Anomaly,World Boss,Ley-Line Anomaly,Gendarran Fields,Provern Shore Waypoint,04:20,6,
Living World Season 1 & 2,Living World Season 1,World Boss,Twisted Marionette,Eye of the North,Eye of the North Waypoint,00:00,2,
Living World Season 1 & 2,Living World Season 1,Meta Event,The Battle for Lion's Arch,Eye of the North,Eye of the North Waypoint,00:30,2,
Living World Season 1 & 2,Living World Season 1,Meta Event,Scarlet's Invasion,Gendarran Fields,Cornucopian Fields Waypoint,01:00,2,
Living World Season 1 & 2,Living World Season 1,Meta Event,Tower of Nightmares,Eye of the North,Eye of the North Waypoint,01:30,2,
Living World Season 1 & 2,Living World Season 2,Meta Event,Sandstorm,Dry Top,Dry Top Entry Waypoint,00:40,1,
Heart of Thorns,Heart of Thorns,Meta Event,Night and the Enemy,Verdant Brink,Pact Encampment Waypoint,01:45,2,
Heart of Thorns,Heart of Thorns,World Boss,Night Bosses,Verdant Brink,Pact Encampment Waypoint,02:10,2,
Heart of Thorns,Heart of Thorns,World Boss,Octovine,Auric Basin,Wanderer's Waypoint,01:00,2,
Heart of Thorns,Heart of Thorns,World Boss,Chak Gerent,Tangled Depths,Ley-Line Confluence Waypoint,00:30,2,
Heart of Thorns,Heart of Thorns,Meta Event,Dragon's Stand Meta,Dragon's Stand,Pact Base Camp Waypoint,01:30,2,
Living World Season 3,Living World Season 3,Meta Event,Noran's Homestead,Lake Doric,Red Leaf Retreat Waypoint,00:30,2,
Living World Season 3,Living World Season 3,Meta Event,Saidra's Haven,Lake Doric,Doric's Landing Waypoint,01:00,2,
Living World Season 3,Living World Season 3,Meta Event,New Loamhurst,Lake Doric,Lakeside Bazaar Waypoint,01:45,2,
Path of Fire,Path of Fire,Meta Event,Casino Blitz,Crystal Oasis,Amnoon Waypoint,00:05,2,
Path of Fire,Path of Fire,World Boss,Choya Pinata,Crystal Oasis,Amnoon Waypoint,00:21,2,
Path of Fire,Path of Fire,Meta Event,Buried Treasure,Desert Highlands,Makali Outpost Waypoint,01:00,2,
Path of Fire,Path of Fire,Meta Event,The Path to Ascension: Augury Rock,Elon Riverlands,Augury's Shadow Waypoint,01:30,2,
Path of Fire,Path of Fire,World Boss,Doppelganger,Elon Riverlands,Augury's Shadow Waypoint,01:55,2,
Path of Fire,Path of Fire,Meta Event,Junundu Rising,The Desolation,Lair of the Forgotten Waypoint,00:30,1,
Path of Fire,Path of Fire,Meta Event,Maws of Torment,The Desolation,The Darklands Waypoint,01:00,2,
Path of Fire,Path of Fire,Meta Event,Forged with Fire,Domain of Vabbi,Necropolis Waypoint,00:00,1,
Path of Fire,Path of Fire,Meta Event,Serpents' Ire,Domain of Vabbi,Market Ruins Waypoint,00:30,2,
Living World Season 4,Living World Season 4,Meta Event,Palawadan,Domain of Istan,Chalon Docks Waypoint,01:45,2,
Living World Season 4,Living World Season 4,World Boss,Death-Branded Shatterer,Jahai Bluffs,Soul's Vendetta Waypoint,01:15,2,
Living World Season 4,Living World Season 4,Meta Event,The Oil Floes,Thunderhead Peaks,Revolution's Heart Waypoint,00:45,2,
Living World Season 4,Living World Season 4,Meta Event,Thunderhead Keep,Thunderhead Peaks,History's End Waypoint,01:45,2,
The Icebrood Saga,The Icebrood Saga,Meta Event,Effigy,Grothmar Valley,Dalada Forest Waypoint,00:10,2,
The Icebrood Saga,The Icebrood Saga,Meta Event,Doomlore Shrine,Grothmar Valley,Dalada Forest Waypoint,00:38,2,
The Icebrood Saga,The Icebrood Saga,Meta Event,Ooze Pits,Grothmar Valley,Wardowns Waypoint,01:05,2,
The Icebrood Saga,The Icebrood Saga,Meta Event,Metal Concert,Grothmar Valley,Wardowns Waypoint,01:40,2,
The Icebrood Saga,The Icebrood Saga,World Boss,Drakkar,Bjora Marches,Still Waters Speaking Waypoint,01:05,2,
The Icebrood Saga,The Icebrood Saga,Meta Event,Defend Jora's Keep,Bjora Marches,Jora's Keep Waypoint,01:45,2,
The Icebrood Saga,The Icebrood Saga,Meta Event,Dragonstorm,Eye of the North,Eye of the North Waypoint,01:00,2,
End of Dragons,End of Dragons,Meta Event,Aetherblade Assault,Seitung Province,Daigo Ward Waypoint,01:30,2,
End of Dragons,End of Dragons,Meta Event,Kaineng Blackout,New Kaineng City,Promenade Waypoint,00:00,2,
End of Dragons,End of Dragons,Meta Event,Gang War,The Echovald Wilds,Mori Village Waypoint,00:30,2,
